permit_number,StreetName,Cross Street 1,Cross Street 2,Utility Contractor,Permit Reason,Utility Type,Effective Date,Expiration Date,Status,cnn
18EXC-1890,NIAGARA AVE,TARA ST,LOUISBURG ST,Empire Engineering & Construction Co.,Install New Curb Ramp,Street / Roadway:Sidewalk/Curb:Curb Ramp,05/14/2018 12:00:00 AM,07/06/2018 12:00:00 AM,APPROVED,9596000
17EXC-1647,GROVE ST,SCOTT ST,,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,26051000
17EXC-1647,FULTON ST,PIERCE ST,SCOTT ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,5889000
17EXC-1647,JENNINGS ST,REVERE AVE,SHAFTER AVE,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,7475000
17EXC-1647,11TH AVE,CABRILLO ST,FULTON ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,499000
17EXC-1647,DIVISADERO ST,BEACH ST,JEFFERSON ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,4834000
17EXC-1647,ALMA ST,BELVEDERE ST,COLE ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,2203000
17EXC-1647,BRODERICK ST,BEACH ST,JEFFERSON ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,3223000
17EXC-1647,PRECITA AVE,SHOTWELL ST,FOLSOM ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,10742000
17EXC-1647,STEINER ST,WASHINGTON ST,JACKSON ST,Shaw Pipeline Inc.,Other,Pavement Preservation:Catch Basin:Video:Street / Roadway:Curb Ramp:Sewer,09/05/2017 12:00:00 AM,08/03/2018 12:00:00 AM,APPROVED,12144000
14EXC-0431,04TH ST,TOWNSEND ST,KING ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,267001
14EXC-0431,BLUXOME ST,04TH ST,05TH ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,2993000
18EXC-2026,HEAD ST,END,ASHTON AVE,Pacific Gas & Electric,Place Conduit,Electric:Street Light,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,6860000
18EXC-2174,PACHECO ST,28TH AVE,29TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,10100000
18EXC-2174,27TH AVE,ORTEGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27395000
18EXC-1904,DAVIS ST,BEALE ST \ MARKET ST \ PINE ST,CALIFORNIA ST,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,ACTIVE,4605000
18EXC-1860,FRONT ST,PINE ST,,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,ACTIVE,24673000
18EXC-1963,PACIFIC AVE,MASON ST,AUBURN ST,Pacific Gas & Electric,Install New Service,Electric,05/29/2018 12:00:00 AM,06/17/2018 12:00:00 AM,APPROVED,10135000
18EXC-2174,28TH AVE,PACHECO ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,23290000
18EXC-2174,ORTEGA ST,26TH AVE,27TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,10014000
17EXC-6954,FARNUM ST,MORELAND ST,,Pacific Gas & Electric,Replace Curb Ramp,Curb Ramp,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,21960000
18EXC-1860,PINE ST,BEALE ST \ DAVIS ST \ MARKET ST,FRONT ST,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,ACTIVE,10453000
18EXC-2174,ORTEGA ST,27TH AVE,28TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,10015000
18EXC-2174,NORIEGA ST,29TH AVE,30TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,9663000
15EXC-6543,20TH ST,ILLINOIS ST,,SBC - Pacific Bell Engineering,Repair Conduit,Telephone,11/13/2105 12:00:00 AM,12/27/2105 12:00:00 AM,APPROVED,23562000
18EXC-2165,JERSEY ST,NOE ST,CASTRO ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,7512000
17EXC-6954,FARNUM ST,MORELAND ST,MOFFITT ST,Pacific Gas & Electric,Replace Curb Ramp,Curb Ramp,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,5413000
18EXC-2162,CASTRO ST,JERSEY ST,25TH ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,3802000
18EXC-2162,CLIPPER ST,NOE ST,CASTRO ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,4214000
18EXC-2174,NORIEGA ST,27TH AVE,28TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,9661000
18EXC-2174,NORIEGA ST,28TH AVE,29TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,9662000
18EXC-2174,ORTEGA ST,28TH AVE,29TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,10016000
18EXC-2165,NOE ST,24TH ST,JERSEY ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,9628000
18EXC-2174,28TH AVE,ORTEGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27397000
18EXC-2174,28TH AVE,MORAGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27405000
18EXC-2157,OCEAN AVE,DORADO TER \ JULES AVE,ASHTON AVE,Pacific Gas & Electric,Replace/Repair Box,Electric,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,9830201
18EXC-2101,HAROLD AVE,GRAFTON AVE,HOLLOWAY AVE,Pacific Gas & Electric,Replace Service,Gas,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,6694000
18EXC-2174,29TH AVE,ORTEGA ST,PACHECO ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1621000
18EXC-2174,29TH AVE,ORTEGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27398000
18EXC-2174,29TH AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1619000
18EXC-2174,MORAGA ST,28TH AVE,29TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,9353000
17EXC-6954,FARNUM ST,MOFFITT ST,,Pacific Gas & Electric,Replace Curb Ramp,Curb Ramp,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,21956000
18EXC-2174,28TH AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1588000
18EXC-2174,27TH AVE,NORIEGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27396000
18EXC-1860,PINE ST,FRONT ST,BATTERY ST,CableCom,Install New Service,Cable TV,04/30/2018 12:00:00 AM,06/13/2018 12:00:00 AM,ACTIVE,10454000
18EXC-2174,28TH AVE,PACHECO ST,QUINTARA ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1591000
18EXC-2174,28TH AVE,NORIEGA ST,ORTEGA ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1589000
18EXC-2174,29TH AVE,PACHECO ST,QUINTARA ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1622000
18EXC-2174,MORAGA ST,27TH AVE,28TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,9352000
18EXC-2174,29TH AVE,PACHECO ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,23293000
18EXC-2174,29TH AVE,NORIEGA ST,ORTEGA ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1620000
18EXC-2174,28TH AVE,ORTEGA ST,PACHECO ST,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,1590000
18EXC-2174,NORIEGA ST,26TH AVE,27TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,9660000
18EXC-2165,25TH ST,SANCHEZ ST,NOE ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,1453000
18EXC-2174,30TH AVE,MORAGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27681000
18EXC-2174,29TH AVE,NORIEGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27400000
18EXC-2174,ORTEGA ST,29TH AVE,30TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,10017000
17EXC-6954,MOFFITT ST,FARNUM ST,DIAMOND ST,Pacific Gas & Electric,Replace Curb Ramp,Curb Ramp,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,9223000
18EXC-2174,PACHECO ST,29TH AVE,30TH AVE,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,10101000
18EXC-2162,NOE ST,24TH ST,JERSEY ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,9628000
18EXC-2162,CASTRO ST,24TH ST,JERSEY ST,Pacific Gas & Electric,Replace Service,Gas,05/21/2018 12:00:00 AM,06/18/2018 12:00:00 AM,APPROVED,3801000
18EXC-2174,28TH AVE,NORIEGA ST,,Pacific Gas & Electric,Replace Main,Gas,06/01/2018 12:00:00 AM,08/31/2018 12:00:00 AM,APPROVED,27399000
18EXC-2239,NOE ST,25TH ST,CLIPPER ST,Pacific Gas & Electric,Replace Service,Gas,05/13/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,9630000
18EXC-2002,RUSSIA AVE,NAPLES ST,VIENNA ST,Hernandez Engineering,Replace Main,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/10/2018 12:00:00 AM,07/13/2018 12:00:00 AM,ACTIVE,11194000
18EXC-1590,KIRKHAM ST,KORET WAY,05TH AVE,CF Contracting,Install New Curb Ramp,Bulb Out:Catch Basin:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/14/2018 12:00:00 AM,12/08/2018 12:00:00 AM,APPROVED,7842000
18EXC-1590,SANTA CLARA AVE,SANTA MONICA WAY \ YERBA BUENA AVE,,CF Contracting,Install New Curb Ramp,Bulb Out:Catch Basin:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/14/2018 12:00:00 AM,12/08/2018 12:00:00 AM,APPROVED,22916000
18EXC-2242,GRAND VIEW AVE,GRAND VIEW TER,,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,26097000
18EXC-1717,LAWTON ST,24TH AVE,25TH AVE,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,ACTIVE,8204000
18EXC-2242,DETROIT ST,MANGELS AVE,MELROSE AVE,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,4730000
18EXC-2242,NORTHWOOD DR,MIRAMAR AVE,PIZARRO WAY,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,9711000
18EXC-1717,25TH AVE,LAWTON ST,,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,ACTIVE,27392000
18EXC-2242,21ST ST,WORTH ST,GRAND VIEW AVE,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,1129000
18EXC-2242,MANGELS AVE,MELROSE AVE,,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,22387000
18EXC-2267,29TH ST,SAN JOSE AVE,DOLORES ST,San Francisco Water Department,Install New Service,Water Service,05/15/2018 12:00:00 AM,06/28/2018 12:00:00 AM,APPROVED,1630000
18EXC-1886,26TH AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/13/2018 12:00:00 AM,ACTIVE,1482000
18EXC-2242,21ST ST,GRAND VIEW AVE,,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,26093000
18EXC-0042,KEITH ST,SHAFTER AVE,,R & S Construction Management Inc,Install New Curb Ramp,Street / Roadway:Sidewalk/Curb:Curb Ramp,05/21/2018 12:00:00 AM,11/23/2018 12:00:00 AM,APPROVED,20158000
18EXC-0042,KEITH ST,SHAFTER AVE,THOMAS AVE,R & S Construction Management Inc,Install New Curb Ramp,Street / Roadway:Sidewalk/Curb:Curb Ramp,05/21/2018 12:00:00 AM,11/23/2018 12:00:00 AM,APPROVED,7786000
18EXC-2396,09TH AVE,BALBOA ST,CABRILLO ST,Pacific Gas & Electric,Replace Pole,Electric,09/28/2018 12:00:00 AM,10/26/2018 12:00:00 AM,APPROVED,428000
18EXC-0042,EL PLAZUELA WAY,JUNIPERO SERRA BLVD,,R & S Construction Management Inc,Install New Curb Ramp,Street / Roadway:Sidewalk/Curb:Curb Ramp,05/21/2018 12:00:00 AM,11/23/2018 12:00:00 AM,APPROVED,33410000
18EXC-1524,JUNIPERO SERRA BLVD,PORTOLA DR \ SAINT FRANCIS BLVD \ SLOAT BLVD \ WEST PORTAL AVE,,Shimmick/ Con-Quest JV,Place Conduit,Street / Roadway:Sidewalk/Curb:Traffic Signal,05/14/2018 12:00:00 AM,11/17/2018 12:00:00 AM,ACTIVE,23141000
18EXC-2383,SARGENT ST,VICTORIA ST,,Pacific Gas & Electric,Corrosion Testing,Electric,09/27/2018 12:00:00 AM,10/25/2018 12:00:00 AM,APPROVED,22693000
18EXC-2242,EDNA ST,MANGELS AVE,,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,22291000
18EXC-2330,08TH ST,BRANNAN ST,TOWNSEND ST,CableCom,Install New Service,Cable TV,05/17/2018 12:00:00 AM,06/14/2018 12:00:00 AM,APPROVED,417000
17EXC-2574,SACRAMENTO ST,LAUREL ST,LOCUST ST,Pacific Gas & Electric,Place Conduit,Electric,06/14/2018 12:00:00 AM,07/12/2018 12:00:00 AM,APPROVED,11267000
18EXC-2242,CORWIN ST,END,ACME ALY,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,4443000
18EXC-2358,MASONIC AVE,HAYES ST,FELL ST,Pacific Gas & Electric,Raise / Adjust Casting,Gas,06/11/2018 12:00:00 AM,07/09/2018 12:00:00 AM,APPROVED,8851000
18EXC-2406,FILLMORE ST,GERMANIA ST,WALLER ST,Hernandez Engineering,Install New Curb Ramp,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/16/2018 12:00:00 AM,06/29/2018 12:00:00 AM,APPROVED,5531000
18EXC-1590,JUDAH ST,06TH AVE,07TH AVE,CF Contracting,Install New Curb Ramp,Bulb Out:Catch Basin:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/14/2018 12:00:00 AM,12/08/2018 12:00:00 AM,APPROVED,7641000
18EXC-1886,ORTEGA ST,21ST AVE,22ND AVE,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/13/2018 12:00:00 AM,ACTIVE,10009000
18EXC-1267,31ST AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Replace Service,Gas,06/04/2018 12:00:00 AM,07/02/2018 12:00:00 AM,APPROVED,1688000
18EXC-2268,LARKIN ST,PINE ST,CALIFORNIA ST,Paramount Utility Corp,Place Conduit,Data,05/28/2018 12:00:00 AM,06/25/2018 12:00:00 AM,APPROVED,8140000
18EXC-2210,JUNIPERO SERRA BLVD,EUCALYPTUS DR \ OCEAN AVE,STONECREST DR,Pacific Gas & Electric,Replace/Repair Box,Electric,05/29/2018 12:00:00 AM,06/26/2018 12:00:00 AM,APPROVED,7707201
18EXC-1590,KIRKHAM ST,05TH AVE,06TH AVE,CF Contracting,Install New Curb Ramp,Bulb Out:Catch Basin:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/14/2018 12:00:00 AM,12/08/2018 12:00:00 AM,APPROVED,7843000
18EXC-2242,DIAMOND ST,DIAMOND HEIGHTS BLVD,HILIRITAS AVE,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,4759000
18EXC-1524,WEST PORTAL AVE,14TH AVE,15TH AVE,Shimmick/ Con-Quest JV,Place Conduit,Street / Roadway:Sidewalk/Curb:Traffic Signal,05/14/2018 12:00:00 AM,11/17/2018 12:00:00 AM,ACTIVE,13579101
18EXC-1717,24TH AVE,LAWTON ST,,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,ACTIVE,27391000
18EXC-1941,STANYAN ST,GRATTAN ST,ALMA ST,Pacific Gas & Electric,Relocate Pole,Electric,06/18/2018 12:00:00 AM,07/16/2018 12:00:00 AM,APPROVED,12097000
18EXC-2290,PINE ST,POLK ST,,CableCom,Repair / Restore Trench,Cable TV,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,25222000
18EXC-2251,PAGE ST,STEINER ST,,Pacific Gas & Electric,Replace Pole,Electric,05/14/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,25995000
18EXC-2242,23RD ST,GRAND VIEW AVE,,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,26089000
18EXC-1785,HAROLD AVE,GRAFTON AVE,HOLLOWAY AVE,Pacific Gas & Electric,Replace Service,Gas,05/23/2018 12:00:00 AM,06/20/2018 12:00:00 AM,APPROVED,6694000
18EXC-2203,02ND AVE,GEARY BLVD,ANZA ST,San Francisco Water Department,Install New Service,Water Service,05/14/2018 12:00:00 AM,06/28/2018 12:00:00 AM,APPROVED,123000
14EXC-0431,04TH ST,BRANNAN ST,BLUXOME ST,Tutor Perini Corporation,Other,Other,01/22/2014 12:00:00 AM,12/31/2018 12:00:00 AM,APPROVED,265000
18EXC-0042,SANCHEZ ST,28TH ST,VALLEY ST,R & S Construction Management Inc,Install New Curb Ramp,Street / Roadway:Sidewalk/Curb:Curb Ramp,05/21/2018 12:00:00 AM,11/23/2018 12:00:00 AM,APPROVED,11537000
18EXC-1717,24TH AVE,KIRKHAM ST,,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,ACTIVE,27413000
18EXC-2434,LAGUNA HONDA BLVD,DEWEY BLVD,WOODSIDE AVE,Pacific Gas & Electric,Spot Paving,Gas,05/23/2018 12:00:00 AM,06/20/2018 12:00:00 AM,APPROVED,7991101
18EXC-1717,25TH AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,ACTIVE,1386000
18EXC-1441,MISSION ST,SHAW ALY,ANTHONY ST,Pacific Gas & Electric,Relocate Service,Electric,06/04/2018 12:00:00 AM,07/02/2018 12:00:00 AM,APPROVED,9090000
18EXC-2406,LAUSSAT ST,BUCHANAN ST,WEBSTER ST,Hernandez Engineering,Install New Curb Ramp,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/16/2018 12:00:00 AM,06/29/2018 12:00:00 AM,APPROVED,8177000
17EXC-3158,03RD ST,SOUTH ST,,Pacific Gas & Electric,Install New Main,Other:Gas:Electric,06/01/2018 12:00:00 AM,10/19/2018 12:00:00 AM,APPROVED,34162000
18EXC-1590,06TH AVE,KIRKHAM ST,,CF Contracting,Install New Curb Ramp,Bulb Out:Catch Basin:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/14/2018 12:00:00 AM,12/08/2018 12:00:00 AM,APPROVED,27077000
17EXC-3158,16TH ST,TERRY A FRANCOIS BLVD,ILLINOIS ST,Pacific Gas & Electric,Install New Main,Other:Gas:Electric,06/01/2018 12:00:00 AM,10/19/2018 12:00:00 AM,APPROVED,15049000
18EXC-2406,WALLER ST,OCTAVIA ST,LAGUNA ST,Hernandez Engineering,Install New Curb Ramp,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/16/2018 12:00:00 AM,06/29/2018 12:00:00 AM,APPROVED,13359000
18EXC-2208,TWIN PEAKS BLVD,SAINT GERMAIN AVE,PALO ALTO AVE,San Francisco Water Department,Install New Service,Water Service,05/11/2018 12:00:00 AM,06/24/2018 12:00:00 AM,ACTIVE,12765000
18EXC-1446,19TH AVE,KIRKHAM ST,LAWTON ST,San Francisco Water Department,Install New Service,Water Service,05/03/2018 12:00:00 AM,06/16/2018 12:00:00 AM,ACTIVE,912201
18EXC-2406,DIVISADERO ST,DUBOCE AVE,CASTRO ST \ WALLER ST,Hernandez Engineering,Install New Curb Ramp,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/16/2018 12:00:00 AM,06/29/2018 12:00:00 AM,APPROVED,4797000
18EXC-1886,25TH AVE,NORIEGA ST,,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/13/2018 12:00:00 AM,ACTIVE,27384000
18EXC-2242,GRAND VIEW AVE,MORGAN ALY,HOFFMAN AVE,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,6373000
18EXC-2406,PIERCE ST,WALLER ST,HAIGHT ST,Hernandez Engineering,Install New Curb Ramp,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/16/2018 12:00:00 AM,06/29/2018 12:00:00 AM,APPROVED,10418000
18EXC-2242,DIAMOND ST,MORELAND ST,,"Con-Quest Contractors, Inc.",Reconstruct Pavement,Bulb Out:Catch Basin:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,06/01/2018 12:00:00 AM,07/31/2018 12:00:00 AM,APPROVED,33419000
18EXC-1886,ORTEGA ST,26TH AVE,27TH AVE,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/13/2018 12:00:00 AM,ACTIVE,10014000
18EXC-1789,HAROLD AVE,GRAFTON AVE,HOLLOWAY AVE,Pacific Gas & Electric,Replace Service,Gas,05/25/2018 12:00:00 AM,06/22/2018 12:00:00 AM,APPROVED,6694000
18EXC-1717,24TH AVE,MORAGA ST,NORIEGA ST,Pacific Gas & Electric,Replace Main,Gas,05/02/2018 12:00:00 AM,07/31/2018 12:00:00 AM,ACTIVE,1303000
18EXC-2224,BUCKINGHAM WAY,19TH AVE,WINSTON DR,Turn Around Communications,Place Conduit,Data,06/04/2018 12:00:00 AM,06/11/2018 12:00:00 AM,APPROVED,3358000
18EXC-2002,RUSSIA AVE,VIENNA ST,ATHENS ST,Hernandez Engineering,Replace Main,Pavement Preservation:Water Service:Street / Roadway:Sidewalk/Curb:Curb Ramp:Sewer,05/10/2018 12:00:00 AM,07/13/2018 12:00:00 AM,ACTIVE,11195000
